Employee Id,Date,Time
1,01/01/2024,8:00
1,01/01/2024,15:00
2,01/01/2024,8:00
2,01/01/2024,15:00
3,01/01/2024,8:00
3,01/01/2024,16:00
1,01/02/2024,8:00
1,01/02/2024,16:00
2,01/02/2024,8:00
2,01/02/2024,16:00
3,01/02/2024,8:00
3,01/02/2024,16:00
3,01/03/2024,8:30
3,01/03/2024,14:10
2,01/03/2024,8:14
1,01/03/2024,8:00
2,01/03/2024,16:00
1,01/03/2024,12:00
1,01/04/2024,8:00
1,01/04/2024,16:00
2,01/04/2024,8:00
2,01/04/2024,16:00
3,01/04/2024,8:00
3,01/04/2024,16:00
1,01/05/2024,8:00
1,01/05/2024,16:00
2,01/05/2024,8:00
2,01/05/2024,16:00
3,01/05/2024,8:00
3,01/05/2024,16:00
1,01/08/2024,8:00
1,01/08/2024,16:00
2,01/08/2024,8:00
2,01/08/2024,16:00
3,01/08/2024,8:00
3,01/08/2024,16:00
1,01/09/2024,8:00
1,01/09/2024,16:00
2,01/09/2024,8:00
2,01/09/2024,16:00
3,01/09/2024,8:00
3,01/09/2024,16:00
1,01/10/2024,8:00
1,01/10/2024,16:00
2,01/10/2024,8:00
2,01/10/2024,16:00
3,01/10/2024,8:00
3,01/10/2024,16:00
1,01/11/2024,8:00
1,01/11/2024,16:00
2,01/11/2024,8:00
2,01/11/2024,16:00
3,01/11/2024,8:00
3,01/11/2024,16:00
1,01/12/2024,8:00
1,01/12/2024,16:00
2,01/12/2024,8:00
2,01/12/2024,16:00
3,01/12/2024,8:00
3,01/12/2024,16:00
1,01/15/2024,8:00
1,01/15/2024,16:00
2,01/15/2024,8:00
2,01/15/2024,16:00
3,01/15/2024,8:00
3,01/15/2024,16:00
1,01/16/2024,8:00
1,01/16/2024,16:00
2,01/16/2024,8:00
2,01/16/2024,16:00
3,01/16/2024,8:00
3,01/16/2024,16:00
1,01/17/2024,8:00
1,01/17/2024,16:00
2,01/17/2024,8:00
2,01/17/2024,16:00
3,01/17/2024,8:00
3,01/17/2024,16:00
1,01/18/2024,8:00
1,01/18/2024,16:00
2,01/18/2024,8:00
2,01/18/2024,16:00
3,01/18/2024,8:00
3,01/18/2024,16:00
1,01/19/2024,8:00
1,01/19/2024,16:00
2,01/19/2024,8:00
2,01/19/2024,16:00
3,01/19/2024,8:00
3,01/19/2024,16:00
1,01/22/2024,8:00
1,01/22/2024,16:00
2,01/22/2024,8:00
2,01/22/2024,16:00
3,01/22/2024,8:00
3,01/22/2024,16:00
1,01/23/2024,8:00
1,01/23/2024,16:00
2,01/23/2024,8:00
2,01/23/2024,16:00
3,01/23/2024,8:00
3,01/23/2024,16:00
1,01/24/2024,8:00
1,01/24/2024,16:00
2,01/24/2024,8:00
2,01/24/2024,16:00
3,01/24/2024,8:00
3,01/24/2024,16:00
1,01/25/2024,8:00
1,01/25/2024,16:00
2,01/25/2024,8:00
2,01/25/2024,16:00
3,01/25/2024,8:00
3,01/25/2024,16:00
1,01/26/2024,8:00
1,01/26/2024,15:00
2,01/26/2024,8:00
2,01/26/2024,15:00
3,01/26/2024,8:00
3,01/26/2024,15:00
4,01/26/2024,
